----------------------------------------------------------------
Epoch 154/300, Train Loss: 0.509, Train Accuracy: 82.38%, Test Loss: 0.0037, Test Accuracy: 84.38%
Epoch 155/300, Train Loss: 0.513, Train Accuracy: 82.12%, Test Loss: 0.0037, Test Accuracy: 84.02%
Epoch 156/300, Train Loss: 0.513, Train Accuracy: 81.91%, Test Loss: 0.0036, Test Accuracy: 84.69%
Epoch 157/300, Train Loss: 0.509, Train Accuracy: 82.19%, Test Loss: 0.0037, Test Accuracy: 84.28%
Epoch 158/300, Train Loss: 0.505, Train Accuracy: 82.29%, Test Loss: 0.0039, Test Accuracy: 83.85%
Epoch 159/300, Train Loss: 0.512, Train Accuracy: 82.10%, Test Loss: 0.0037, Test Accuracy: 84.01%
Epoch 160/300, Train Loss: 0.507, Train Accuracy: 82.35%, Test Loss: 0.0038, Test Accuracy: 83.81%
Epoch 161/300, Train Loss: 0.510, Train Accuracy: 82.15%, Test Loss: 0.0036, Test Accuracy: 84.32%
Epoch 162/300, Train Loss: 0.510, Train Accuracy: 82.14%, Test Loss: 0.0036, Test Accuracy: 84.32%
Epoch 163/300, Train Loss: 0.506, Train Accuracy: 82.25%, Test Loss: 0.0037, Test Accuracy: 84.21%
Epoch 164/300, Train Loss: 0.508, Train Accuracy: 82.26%, Test Loss: 0.0038, Test Accuracy: 83.56%
Epoch 165/300, Train Loss: 0.503, Train Accuracy: 82.44%, Test Loss: 0.0038, Test Accuracy: 83.75%
Epoch 166/300, Train Loss: 0.504, Train Accuracy: 82.50%, Test Loss: 0.0036, Test Accuracy: 84.93%
Epoch 167/300, Train Loss: 0.504, Train Accuracy: 82.42%, Test Loss: 0.0036, Test Accuracy: 84.54%
Epoch 168/300, Train Loss: 0.502, Train Accuracy: 82.45%, Test Loss: 0.0037, Test Accuracy: 84.06%
Epoch 169/300, Train Loss: 0.505, Train Accuracy: 82.54%, Test Loss: 0.0036, Test Accuracy: 84.52%
Epoch 170/300, Train Loss: 0.506, Train Accuracy: 82.04%, Test Loss: 0.0037, Test Accuracy: 84.05%
Epoch 171/300, Train Loss: 0.498, Train Accuracy: 82.60%, Test Loss: 0.0036, Test Accuracy: 84.91%
Epoch 172/300, Train Loss: 0.503, Train Accuracy: 82.31%, Test Loss: 0.0036, Test Accuracy: 84.60%
Epoch 173/300, Train Loss: 0.503, Train Accuracy: 82.40%, Test Loss: 0.0036, Test Accuracy: 84.58%
Epoch 174/300, Train Loss: 0.500, Train Accuracy: 82.64%, Test Loss: 0.0036, Test Accuracy: 84.60%
Epoch 175/300, Train Loss: 0.494, Train Accuracy: 82.64%, Test Loss: 0.0038, Test Accuracy: 83.78%
Epoch 176/300, Train Loss: 0.498, Train Accuracy: 82.48%, Test Loss: 0.0037, Test Accuracy: 84.83%
Epoch 177/300, Train Loss: 0.497, Train Accuracy: 82.67%, Test Loss: 0.0036, Test Accuracy: 84.45%
Epoch 178/300, Train Loss: 0.498, Train Accuracy: 82.53%, Test Loss: 0.0035, Test Accuracy: 84.61%
Epoch 179/300, Train Loss: 0.499, Train Accuracy: 82.66%, Test Loss: 0.0036, Test Accuracy: 84.55%
Epoch 180/300, Train Loss: 0.497, Train Accuracy: 82.59%, Test Loss: 0.0036, Test Accuracy: 84.47%
Epoch 181/300, Train Loss: 0.494, Train Accuracy: 82.62%, Test Loss: 0.0037, Test Accuracy: 84.60%
Epoch 182/300, Train Loss: 0.494, Train Accuracy: 82.71%, Test Loss: 0.0038, Test Accuracy: 84.05%
Epoch 183/300, Train Loss: 0.496, Train Accuracy: 82.63%, Test Loss: 0.0036, Test Accuracy: 84.32%
Epoch 184/300, Train Loss: 0.501, Train Accuracy: 82.48%, Test Loss: 0.0036, Test Accuracy: 84.99%
Epoch 185/300, Train Loss: 0.494, Train Accuracy: 82.56%, Test Loss: 0.0036, Test Accuracy: 84.64%
Epoch 186/300, Train Loss: 0.492, Train Accuracy: 82.92%, Test Loss: 0.0036, Test Accuracy: 84.59%
Epoch 187/300, Train Loss: 0.491, Train Accuracy: 82.71%, Test Loss: 0.0036, Test Accuracy: 84.46%
Epoch 188/300, Train Loss: 0.501, Train Accuracy: 82.49%, Test Loss: 0.0036, Test Accuracy: 84.31%
Epoch 189/300, Train Loss: 0.484, Train Accuracy: 83.11%, Test Loss: 0.0037, Test Accuracy: 84.26%
Epoch 190/300, Train Loss: 0.494, Train Accuracy: 82.80%, Test Loss: 0.0035, Test Accuracy: 85.13%
Epoch 191/300, Train Loss: 0.490, Train Accuracy: 82.84%, Test Loss: 0.0035, Test Accuracy: 85.12%
Epoch 192/300, Train Loss: 0.490, Train Accuracy: 82.96%, Test Loss: 0.0036, Test Accuracy: 84.92%
Epoch 193/300, Train Loss: 0.489, Train Accuracy: 82.85%, Test Loss: 0.0036, Test Accuracy: 84.45%
Epoch 194/300, Train Loss: 0.489, Train Accuracy: 82.85%, Test Loss: 0.0037, Test Accuracy: 84.39%
Epoch 195/300, Train Loss: 0.488, Train Accuracy: 82.95%, Test Loss: 0.0036, Test Accuracy: 84.95%
Epoch 196/300, Train Loss: 0.480, Train Accuracy: 83.11%, Test Loss: 0.0036, Test Accuracy: 84.95%
Epoch 197/300, Train Loss: 0.486, Train Accuracy: 83.01%, Test Loss: 0.0037, Test Accuracy: 84.52%
Epoch 198/300, Train Loss: 0.486, Train Accuracy: 82.91%, Test Loss: 0.0036, Test Accuracy: 85.01%
Epoch 199/300, Train Loss: 0.489, Train Accuracy: 82.97%, Test Loss: 0.0035, Test Accuracy: 84.52%
Epoch 200/300, Train Loss: 0.483, Train Accuracy: 83.05%, Test Loss: 0.0036, Test Accuracy: 84.39%
Epoch 201/300, Train Loss: 0.481, Train Accuracy: 83.13%, Test Loss: 0.0036, Test Accuracy: 84.89%
Epoch 202/300, Train Loss: 0.485, Train Accuracy: 83.09%, Test Loss: 0.0035, Test Accuracy: 84.62%
Epoch 203/300, Train Loss: 0.481, Train Accuracy: 83.06%, Test Loss: 0.0036, Test Accuracy: 84.59%
Epoch 204/300, Train Loss: 0.479, Train Accuracy: 83.12%, Test Loss: 0.0035, Test Accuracy: 85.15%
Epoch 205/300, Train Loss: 0.484, Train Accuracy: 82.97%, Test Loss: 0.0036, Test Accuracy: 84.59%
Epoch 206/300, Train Loss: 0.481, Train Accuracy: 83.24%, Test Loss: 0.0035, Test Accuracy: 84.97%
Epoch 207/300, Train Loss: 0.483, Train Accuracy: 83.21%, Test Loss: 0.0036, Test Accuracy: 84.51%
Epoch 208/300, Train Loss: 0.481, Train Accuracy: 83.18%, Test Loss: 0.0035, Test Accuracy: 84.83%
Epoch 209/300, Train Loss: 0.486, Train Accuracy: 83.06%, Test Loss: 0.0036, Test Accuracy: 84.18%
Epoch 210/300, Train Loss: 0.480, Train Accuracy: 83.17%, Test Loss: 0.0035, Test Accuracy: 84.90%
Epoch 211/300, Train Loss: 0.477, Train Accuracy: 83.34%, Test Loss: 0.0035, Test Accuracy: 84.88%
Epoch 212/300, Train Loss: 0.482, Train Accuracy: 83.13%, Test Loss: 0.0036, Test Accuracy: 84.84%
Epoch 213/300, Train Loss: 0.475, Train Accuracy: 83.55%, Test Loss: 0.0036, Test Accuracy: 84.79%
Epoch 214/300, Train Loss: 0.477, Train Accuracy: 83.43%, Test Loss: 0.0036, Test Accuracy: 84.35%
Epoch 215/300, Train Loss: 0.472, Train Accuracy: 83.54%, Test Loss: 0.0036, Test Accuracy: 84.73%
Epoch 216/300, Train Loss: 0.480, Train Accuracy: 83.12%, Test Loss: 0.0037, Test Accuracy: 84.15%
Epoch 217/300, Train Loss: 0.477, Train Accuracy: 83.41%, Test Loss: 0.0035, Test Accuracy: 85.39%
